,W43_M1,W43_M1adj,W27_M1,W27_M1adj,W28_M1,W28_M1adj,W26_M1,W26_M1adj,W31_M1,W31_M1adj,W42_M1,W42_M1adj,W24_M1.1,W24_M1adj.1,W25_M1.2,W25_M1adj.2,W23_M1,W23_M1adj,W22_M1,W22_M1adj,W41_M1,W41_M1adj,W39_M1,W39_M1adj,W39_M2,W39_M2adj,W50_M1,W50_M1adj,W50_M2,W50_M2adj,W34_M1,W34_M1adj,W45_M1,W45_M1adj,W49_M1,W49_M1adj,W35_M1,W35_M1adj,W35_M2,W35_M2adj,W36_M1,W36_M1adj,W47_M1,W47_M1adj,W32_M1,W32_M1adj,W32_M2,W32_M2adj,W33_M1,W33_M1adj,W46_M1,W46_M1adj,W29_M1,W29_M1adj,W30_M1,W30_M1adj,W44_M1,W44_M1adj,W44_M2,W44_M2adj,W30_M2,W30_M2adj,W25_M2,W25_M2adj,W48_M1,W48_M1adj,W41_M2,W41_M2adj,W47_M2,W47_M2adj,W31_M2,W31_M2adj
1,20.64,,165.117,165.117,13.76,,6.88,,61.919,61.919,6.88,,481.591,481.591,75.679,75.679,6.88,,6.88,,6.88,,433.432,433.432,337.114,337.114,2621.231,2621.231,2352.916,2352.916,405.912,405.912,61.919,61.919,61.919,61.919,6.88,,6.88,,1045.74,1045.74,6.88,,13.76,,206.396,206.396,75.679,75.679,20.64,,6.88,,26893.416,26893.416,96.318,96.318,639.828,639.828,584.789,584.789,550.39,550.39,20.64,,240.795,240.795,103.198,103.198,2806.987,2806.987
2,13.76,,13.76,,13.76,,6.88,,894.383,894.383,13.76,,41.279,41.279,13.76,,6.88,,6.88,,13.76,,1437.893,1437.893,206.396,206.396,13.76,,2084.601,2084.601,220.156,220.156,89.438,89.438,55.039,55.039,13.76,,7196.345,7196.345,6.88,,13.76,,811.825,811.825,47305.993,47305.993,39648.697,39648.697,206.396,206.396,13.76,,13.76,,82.558,82.558,6.88,,6.88,,1465.413,1465.413,48.159,48.159,6.88,,20.64,,6.88,
3,96.318,96.318,20.64,,6.88,,20.64,,302.714,302.714,653.588,653.588,34.399,34.399,6.88,,6.88,,61.919,61.919,13.76,,61.919,61.919,6109.325,6109.325,61.919,61.919,76105.133,76105.133,27.519,,1320.935,1320.935,41.279,41.279,13.76,,6.88,,6.88,,13.76,,6.88,,61.919,61.919,110.078,110.078,192.636,192.636,6.88,,82.558,82.558,37798.011,37798.011,13.76,,185.757,185.757,20.64,,34.399,34.399,55.039,55.039,27.519,,41.279,41.279
4,206.396,206.396,13.76,,27.519,,144.477,144.477,20.64,,357.753,357.753,110.078,110.078,55.039,55.039,6.88,,41.279,41.279,20.64,,426.552,426.552,4967.267,4967.267,240.795,240.795,57756.517,57756.517,6.88,,6.88,,6.88,,48.159,48.159,350.873,350.873,254.555,254.555,55.039,55.039,227.036,227.036,3219.78,3219.78,6.88,,6.88,,6.88,,13.76,,18204.139,18204.139,6.88,,6.88,,3433.056,3433.056,110.078,110.078,27.519,,75.679,75.679,6.88,
5,488.471,488.471,6.88,,27.519,,6.88,,192.636,192.636,6.88,,6.88,,6.88,,27.519,,6.88,,20.64,,13.76,,82.558,82.558,6.88,,1176.458,1176.458,6.88,,6.88,,34.399,34.399,89.438,89.438,6.88,,6.88,,6.88,,13.76,,3157.861,3157.861,6.88,,96.318,96.318,34.399,34.399,185.757,185.757,515.99,515.99,13.76,,6.88,,41.279,41.279,6.88,,6.88,,1224.617,1224.617,116.958,116.958
6,20.64,,6.88,,41.279,41.279,27.519,,48.159,48.159,6.88,,34.399,34.399,6.88,,6.88,,13.76,,846.224,846.224,357.753,357.753,68.799,68.799,6.88,,91674.281,91674.281,4121.043,4121.043,55.039,55.039,6.88,,144.477,144.477,20.64,,6.88,,13.76,,6.88,,247.675,247.675,6.88,,20.64,,123.838,123.838,6.88,,6.88,,20.64,,385.273,385.273,185.757,185.757,6.88,,371.513,371.513,571.029,571.029,6.88,
7,13.76,,6.88,,20.64,,68.799,68.799,13.76,,13.76,,13.76,,6.88,,6.88,,13.76,,6.88,,13.76,,6.88,,4815.91,4815.91,123.838,123.838,6.88,,13.76,,13.76,,13.76,,96.318,96.318,6.88,,34.399,34.399,6.88,,302.714,302.714,41.279,41.279,55.039,55.039,6.88,,13.76,,165.117,165.117,13.76,,68.799,68.799,27.519,,6.88,,6.88,,6.88,,6.88,
8,6.88,,6.88,,6.88,,34.399,34.399,1169.578,1169.578,20.64,,13.76,,13.76,,27.519,,6.88,,27.519,,34.399,34.399,110.078,110.078,96.318,96.318,61.919,61.919,89.438,89.438,6.88,,6.88,,6.88,,20.64,,454.071,454.071,75.679,75.679,13.76,,1547.971,1547.971,34.399,34.399,13.76,,6.88,,13.76,,13.76,,6.88,,3983.445,3983.445,6.88,,20.64,,550.39,550.39,227.036,227.036,6.88,
9,6.88,,61.919,61.919,20.64,,27.519,,41.279,41.279,6.88,,82.558,82.558,68.799,68.799,6.88,,536.63,536.63,13.76,,34.399,34.399,385.273,385.273,13.76,,61.919,61.919,1554.851,1554.851,27.519,,6.88,,247.675,247.675,6.88,,467.831,467.831,6.88,,34.399,34.399,1857.565,1857.565,6.88,,20.64,,13.76,,268.315,268.315,61.919,61.919,213.276,213.276,55.039,55.039,27.519,,48.159,48.159,6.88,,6.88,,818.705,818.705
10,6.88,,6.88,,20.64,,6.88,,825.585,825.585,6.88,,61.919,61.919,6.88,,6.88,,20.64,,61.919,61.919,302.714,302.714,6.88,,27.519,,123.838,123.838,20.64,,6.88,,13.76,,316.474,316.474,27.519,,254.555,254.555,6.88,,20.64,,123.838,123.838,6.88,,89.438,89.438,6.88,,13.76,,6.88,,6.88,,6.88,,6.88,,6.88,,27.519,,6.88,,323.354,323.354
11,6.88,,165.117,165.117,20.64,,13.76,,13.76,,20.64,,55.039,55.039,48.159,48.159,82.558,82.558,137.597,137.597,13.76,,6.88,,55.039,55.039,55.039,55.039,4829.669,4829.669,20.64,,6.88,,13.76,,27.519,,13.76,,6.88,,605.429,605.429,392.153,392.153,61.919,61.919,13.76,,20.64,,34.399,34.399,34.399,34.399,27.519,,330.234,330.234,82.558,82.558,784.305,784.305,110.078,110.078,13.76,,6.88,,13.76,
12,6.88,,27.519,,13.76,,48.159,48.159,13.76,,6.88,,13.76,,6.88,,6.88,,41.279,41.279,6.88,,6.88,,20.64,,55.039,55.039,61.919,61.919,6.88,,110.078,110.078,48.159,48.159,1685.568,1685.568,6.88,,20.64,,41.279,41.279,158.237,158.237,990.701,990.701,20.64,,4939.747,4939.747,116.958,116.958,6.88,,6.88,,6.88,,364.633,364.633,233.916,233.916,6.88,,20.64,,75.679,75.679,20.64,
13,34.399,34.399,6.88,,27.519,,240.795,240.795,20.64,,55.039,55.039,6.88,,6.88,,6.88,,6.88,,1403.494,1403.494,13.76,,6.88,,13.76,,18204.139,18204.139,6.88,,13.76,,6.88,,13.76,,13.76,,6.88,,20.64,,6.88,,309.594,309.594,144.477,144.477,27.519,,137.597,137.597,55.039,55.039,6.88,,20.64,,178.877,178.877,27.519,,6.88,,178.877,178.877,13.76,,61.919,61.919
14,48.159,48.159,116.958,116.958,6.88,,13.76,,13.76,,55.039,55.039,6.88,,6.88,,206.396,206.396,6.88,,6.88,,6.88,,96.318,96.318,34.399,34.399,4086.643,4086.643,55.039,55.039,34.399,34.399,27.519,,27.519,,6.88,,6.88,,13.76,,96.318,96.318,123.838,123.838,6.88,,48.159,48.159,96.318,96.318,6.88,,6.88,,12452.567,12452.567,6.88,,6.88,,61.919,61.919,75.679,75.679,34.399,34.399,13.76,
15,13.76,,6.88,,13.76,,96.318,96.318,68.799,68.799,6.88,,13.76,,6.88,,6.88,,27.519,,6.88,,89.438,89.438,6.88,,27.519,,371.513,371.513,199.516,199.516,227.036,227.036,6.88,,130.718,130.718,6.88,,13.76,,13.76,,6.88,,61.919,61.919,6.88,,6.88,,34.399,34.399,13.76,,27.519,,20405.697,20405.697,123.838,123.838,6.88,,6.88,,6.88,,61.919,61.919,48.159,48.159
16,13.76,,6.88,,6.88,,6.88,,240.795,240.795,27.519,,6.88,,13.76,,55.039,55.039,13.76,,6.88,,3467.455,3467.455,6.88,,34.399,34.399,928.783,928.783,27.519,,13.76,,34.399,34.399,20.64,,41.279,41.279,41.279,41.279,6.88,,75.679,75.679,350.873,350.873,144.477,144.477,6.88,,6.88,,6.88,,13.76,,96.318,96.318,6.88,,41.279,41.279,6.88,,6.88,,20.64,,20.64,
17,34.399,34.399,6.88,,6.88,,6.88,,6.88,,151.357,151.357,536.63,536.63,6.88,,20.64,,6.88,,6.88,,13.76,,41.279,41.279,6.88,,309.594,309.594,151.357,151.357,6.88,,6.88,,6.88,,213.276,213.276,116.958,116.958,6.88,,27.519,,3591.293,3591.293,6.88,,20.64,,6.88,,171.997,171.997,75.679,75.679,6.88,,6.88,,27.519,,6.88,,6.88,,20.64,,6.88,
18,20.64,,6.88,,41.279,41.279,27.519,,185.757,185.757,6.88,,48.159,48.159,165.117,165.117,6.88,,13.76,,6.88,,130.718,130.718,6.88,,13.76,,123.838,123.838,13.76,,6.88,,68.799,68.799,13.76,,13.76,,6.88,,55.039,55.039,27.519,,804.945,804.945,240.795,240.795,13.76,,6.88,,41.279,41.279,103.198,103.198,13.76,,6.88,,1183.338,1183.338,34.399,34.399,6.88,,1031.981,1031.981,130.718,130.718
19,6.88,,123.838,123.838,20.64,,6.88,,27.519,,6.88,,6.88,,55.039,55.039,20.64,,13.76,,13.76,,6.88,,6.88,,48.159,48.159,61.919,61.919,27.519,,89.438,89.438,6.88,,165.117,165.117,41.279,41.279,96.318,96.318,6.88,,20.64,,61.919,61.919,6.88,,185.757,185.757,6.88,,75.679,75.679,13.76,,171.997,171.997,6.88,,6.88,,935.662,935.662,20.64,,6.88,,6.88,
20,6.88,,20.64,,6.88,,20.64,,2524.913,2524.913,309.594,309.594,6.88,,6.88,,13.76,,48.159,48.159,34.399,34.399,61.919,61.919,20.64,,34.399,34.399,61.919,61.919,6.88,,254.555,254.555,34.399,34.399,6.88,,116.958,116.958,6.88,,13.76,,13.76,,61.919,61.919,6.88,,13.76,,6.88,,6.88,,6.88,,6.88,,6.88,,27.519,,13.76,,254.555,254.555,13.76,,6.88,
21,543.51,543.51,55.039,55.039,6.88,,6.88,,144.477,144.477,165.117,165.117,82.558,82.558,6.88,,13.76,,6.88,,6.88,,27.519,,20.64,,13.76,,185.757,185.757,6.88,,13.76,,48.159,48.159,48.159,48.159,6.88,,34.399,34.399,13.76,,27.519,,9783.177,9783.177,48.159,48.159,6.88,,6.88,,48.159,48.159,13.76,,1768.127,1768.127,20.64,,6.88,,13.76,,791.185,791.185,13.76,,364.633,364.633
22,240.795,240.795,6.88,,20.64,,41.279,41.279,151.357,151.357,34.399,34.399,82.558,82.558,68.799,68.799,6.88,,34.399,34.399,6.88,,6.88,,68.799,68.799,1444.773,1444.773,247.675,247.675,942.542,942.542,6.88,,96.318,96.318,6.88,,20.64,,48.159,48.159,123.838,123.838,13.76,,61.919,61.919,6.88,,1857.565,1857.565,13.76,,6.88,,13.76,,144.477,144.477,34.399,34.399,20.64,,6.88,,55.039,55.039,6.88,,6.88,
23,41.279,41.279,6.88,,27.519,,13.76,,178.877,178.877,6.88,,6.88,,20.64,,6.88,,6.88,,13.76,,6.88,,20.64,,13.76,,1238.377,1238.377,6.88,,137.597,137.597,6.88,,151.357,151.357,110.078,110.078,13.76,,1960.763,1960.763,6.88,,1857.565,1857.565,6.88,,6.88,,343.994,343.994,6.88,,20.64,,6.88,,6.88,,48.159,48.159,6.88,,151.357,151.357,6.88,,20.64,
24,82.558,82.558,41.279,41.279,13.76,,27.519,,13.76,,6.88,,6.88,,144.477,144.477,68.799,68.799,6.88,,6.88,,192.636,192.636,20.64,,34.399,34.399,61.919,61.919,6.88,,27.519,,34.399,34.399,6.88,,20.64,,288.955,288.955,27.519,,6.88,,247.675,247.675,20.64,,6.88,,6.88,,13.76,,6.88,,6.88,,3144.101,3144.101,55.039,55.039,48.159,48.159,13.76,,6.88,,6.88,
25,41.279,41.279,6.88,,6.88,,13.76,,13.76,,13.76,,6.88,,13.76,,13.76,,6.88,,6.88,,61.919,61.919,68.799,68.799,316.474,316.474,61.919,61.919,6.88,,6.88,,48.159,48.159,6.88,,13.76,,694.867,694.867,6.88,,110.078,110.078,61.919,61.919,13.76,,20.64,,48.159,48.159,20.64,,6.88,,6.88,,6.88,,110.078,110.078,6.88,,13.76,,75.679,75.679,240.795,240.795
26,6.88,,41.279,41.279,20.64,,6.88,,96.318,96.318,103.198,103.198,6.88,,41.279,41.279,6.88,,6.88,,82.558,82.558,6.88,,34.399,34.399,13.76,,247.675,247.675,20.64,,20.64,,6.88,,6.88,,82.558,82.558,6.88,,82.558,82.558,6.88,,61.919,61.919,6.88,,6.88,,6.88,,6.88,,13.76,,13.76,,426.552,426.552,6.88,,1637.409,1637.409,13.76,,27.519,,27.519,
27,171.997,171.997,6.88,,13.76,,55.039,55.039,6.88,,96.318,96.318,151.357,151.357,185.757,185.757,13.76,,6.88,,6.88,,103.198,103.198,48.159,48.159,13.76,,495.351,495.351,6.88,,6.88,,227.036,227.036,6.88,,41.279,41.279,27.519,,1018.221,1018.221,6.88,,495.351,495.351,6.88,,515.99,515.99,48.159,48.159,6.88,,6.88,,20.64,,6.88,,27.519,,41.279,41.279,6.88,,34.399,34.399,213.276,213.276
28,151.357,151.357,6.88,,6.88,,6.88,,13.76,,6.88,,34.399,34.399,89.438,89.438,6.88,,6.88,,6.88,,61.919,61.919,6.88,,6.88,,61.919,61.919,13.76,,6.88,,6.88,,34.399,34.399,13.76,,89.438,89.438,6.88,,13.76,,61.919,61.919,288.955,288.955,61.919,61.919,6.88,,6.88,,89.438,89.438,6.88,,6.88,,6.88,,405.912,405.912,13.76,,110.078,110.078,6.88,
29,68.799,68.799,6.88,,6.88,,6.88,,550.39,550.39,48.159,48.159,103.198,103.198,27.519,,96.318,96.318,75.679,75.679,27.519,,13.76,,3027.143,3027.143,6.88,,804.945,804.945,41.279,41.279,674.227,674.227,55.039,55.039,6.88,,447.192,447.192,20.64,,178.877,178.877,6.88,,61.919,61.919,41.279,41.279,13.76,,6.88,,6.88,,41.279,41.279,6.88,,6.88,,6.88,,6.88,,6.88,,20.64,,6.88,
30,6.88,,6.88,,34.399,34.399,13.76,,6.88,,378.393,378.393,13.76,,6.88,,6.88,,6.88,,6.88,,6.88,,591.669,591.669,6.88,,619.188,619.188,27.519,,130.718,130.718,6.88,,13.76,,6.88,,48.159,48.159,13.76,,48.159,48.159,34241.118,34241.118,27.519,,55.039,55.039,6.88,,247.675,247.675,268.315,268.315,13.76,,123.838,123.838,6.88,,6.88,,20.64,,13.76,,6.88,
31,68.799,68.799,13.76,,6.88,,6.88,,6.88,,6.88,,13.76,,1499.812,1499.812,27.519,,13.76,,6.88,,13.76,,6.88,,213.276,213.276,495.351,495.351,20.64,,6.88,,6.88,,6.88,,13.76,,6.88,,6.88,,20.64,,309.594,309.594,41.279,41.279,27.519,,6.88,,27.519,,832.464,832.464,110.078,110.078,34.399,34.399,20.64,,13.76,,6.88,,13.76,,27.519,
